year,pieces,descr,set
2005,200.0,Box of Bricks<br>-Creator 200 Piece Box of Bricks - Individual Retail Version,Sets:<br>-
1981,614.0,Tractor,"Set: "
2007,61.0,Toa Mahri Hewkii,"Set: "
2007,357.0,Toa Undersea Attack,"Set: "
2011,1174.0,Fire Temple,"Set: "
1999,71.0,Power Pitstop,"Set: "
1982,262.0,ANWB Breakdown Assistance,"Set: "
2016,597.0,New York City,"Set: "
1980,58.0,"Red Roof Bricks Parts Pack, 45 Degree","Set: "
2011,408.0,Bank & Money Transfer,"Set: "
1977,67.0,Formula 1 Racer,"Set: "
2007,920.0,Republic Cruiser (Limited Edition - with R2-R7),"Set: "
1993,63.0,Lever Set,"Set: "
2007,604.0,Box of Bricks,"Set: "
2004,656.0,Castle of Morcia,"Set: "
2015,391.0,Heartlake Food Market<br>-Raptor Escape,Sets:<br>-
1990,35.0,Pirate Elements<br>-Ultra Light I,Sets:<br>-
1979,75.0,Exxon Fuel Tanker,"Set: "
1982,55.0,Highway Emergency Van,"Set: "
2011,49.0,Banana Balance,"Set: "
1980,17.0,Race Car,"Set: "
2006,11.0,Shark Attack<br>-Advent Calendar 2006 City (Day 20) Tool Chest<br>-Advent Calendar 2006 City (Day 23) Water Cannon and Burning Oil Drum<br>-Irnakk,Sets:<br>-
1994,1345.0,Super Car,"Set: "
1972,40.0,Car with Trailer and Racing Car,"Set: "
2009,68.0,Sports Car,"Set: "
1976,428.0,Thatcher Perkins Locomotive,"Set: "
2015,852.0,Mystery Mansion,"Set: "
1986,260.0,Storage Bucket,"Set: "
2006,1196.0,Boeing 787 Dreamliner,"Set: "
2007,794.0,Bullet Run,"Set: "
2003,102.0,Republic Gunship - Mini,"Set: "
2008,523.0,Police Command Center,"Set: "
2004,902.0,Hogwarts Castle (2nd edition),"Set: "
2000,13.0,Advent Calendar 2000 (Day  7) Giraffe,"Set: "
2007,454.0,Y-wing Fighter,"Set: "
2002,56.0,White Plates 2 x n<br>-Black Plates 2 x n<br>-Red Plates 2 x n<br>-Dark Green Plates 2 x n<br>-Light Gray Plates 2 x n,Sets:<br>-
1999,108.0,Shanghai Surprise,"Set: "
2003,63.0,Assorted Yellow Bricks,"Set: "
1989,630.0,Basic Building Set in Bucket,"Set: "
2002,45.0,Bus (Legoland Deutschland),"Set: "
1973,38.0,Doors and Windows,"Set: "
2001,66.0,Small Locomotive<br>-Copter Transport,Sets:<br>-
2008,450.0,Coast Guard Platform,"Set: "
2002,7.0,Super Glider (Kabaya Promotional)<br>-Coca-Cola Goal<br>-Coca-Cola Bench<br>-Coca-Cola Bottle Case<br>-Super Glider<br>-Santa Fe Starter Kit<br>-Santa Fe Train Kit<br>-Sorcerers Stone Kit<br>-Coca Cola Harry Potter Gift Set,Sets:<br>-
1995,293.0,Girl's Freestyle Suitcase,"Set: "
2007,164.0,Fantasy Era Castle Chess Set,"Set: "
2016,389.0,Fire Boat,"Set: "
2006,33.0,Frog,"Set: "
1984,272.0,Fork Lift Truck,"Set: "
1999,136.0,Shell Car Wash<br>-Anakin's Podracer,Sets:<br>-
2014,212.0,Battle Towers,"Set: "
2013,54.0,Z-95 Headhunter<br>-Valentine’s Day Heart Box,Sets:<br>-
2002,41.0,Castle Accessories<br>-Pahrak<br>-Gahlok<br>-Tahnok<br>-Lehvak<br>-Kohrak<br>-Onua Nuva,Sets:<br>-
1986,4.0,Crane Grab and Winch<br>-Optosensors (4.5V) and Discs<br>-LEGO Interface,Sets:<br>-
1997,249.0,Freestyle Bucket,"Set: "
1993,34.0,Castle Equipment,"Set: "
1970,30.0,Fire Truck<br>-Gear Supplementary Set,Sets:<br>-
2015,174.0,Green Lantern vs. Sinestro,"Set: "
2014,100.0,Death Star Troopers,"Set: "
2006,188.0,Ferrari F1 Fuel Stop,"Set: "
2003,72.0,X-wing Fighter & TIE Advanced - Mini<br>-Sebulba's Podracer & Anakin's Podracer - Mini<br>-Jewels-n-Clips<br>-Swan (Legoland Deutschland),Sets:<br>-
1987,228.0,Camouflaged Outpost,"Set: "
1998,69.0,Res-Q Lifeguard<br>-Adventurers Car & Skeleton,Sets:<br>-
2010,309.0,Fire Boat,"Set: "
2010,17.0,Advent Calendar 2010 City (Day 20) Toy Bulldozer<br>-Preston Stormer<br>-Dunkan Bulk<br>-Jimi Stringer,Sets:<br>-
2012,932.0,City Garage,"Set: "
2003,28.0,Vakama (bagged)<br>-Dump Truck<br>-Slammer<br>-Small Red Helicopter (Polybag)<br>-Black Cruiser<br>-Small Car,Sets:<br>-
2012,50.0,Fire ATV<br>-Splitface,Sets:<br>-
1971,51.0,Mobile Site Office<br>-Truck with Girders,Sets:<br>-
1999,82.0,Naboo Swamp,"Set: "
2001,23.0,Yellow Tiger<br>-Precision Shooting<br>-Police Cruiser<br>-Baby Iguanodon (Polybag)<br>-Tyrannosaurus Rex<br>-Baby Iguanodon,Sets:<br>-
1991,38.0,Tri-Wheeled Tyrax,"Set: "
1998,305.0,Sea Scorpion<br>-Res-Q Cruiser,Sets:<br>-
2013,32.0,Monthly Mini Model Build Set April 2013 - Lamb and Sheep<br>-Parrot&#039;s Perch,Sets:<br>-
2002,49.0,Special Elements for Simple Machines Set,"Set: "
2015,360.0,Titanium Dragon,"Set: "
2003,16.0,NBA Basketball Teams<br>-NBA Collectors #3<br>-Advent Calendar 2003 Creator (Day 10) Sailboat<br>-Advent Calendar 2003 Creator (Day 21) Robot<br>-Advent Calendar 2003 Creator (Day 23) Helicopter,Sets:<br>-
1991,6.0,Manual Points,"Set: "
1998,51.0,Dolphin Show,"Set: "
2013,372.0,Eagles’ Castle,"Set: "
1974,31.0,Excavator,"Set: "
1971,77.0,Minitalia Train,"Set: "
